LoanAmount,Income,Fico,Approved
120000,30012,594,0
350000,176000.04,591,0
250000,63000,551,0
280000,43599.96,608,0
146000,79350,600,0
221000,49200,576,0
167850,52416,601,0
379000,89424,611,0
300000,35112,612,0
222000,105300,577,0
424000,159996,612,0
344000,80000.04,612,0
204000,12000,617,0
190000,69600,495,0
355000,31200,534,0
133000,48000,515,0
290000,77064,616,0
264000,98880,618,0
322000,60000,574,0
219000,47280.84,589,0
125000,36000,586,0
152000,45000,617,0
351750,75000,595,0
250000,65208,578,0
220100,38200.08,603,0
342000,68640,588,0
242000,87900,595,0
118800,32400,582,0
222000,65004,609,0
125000,36000,586,0
135000,120000,505,0
120000,40268.76,609,0
265000,15000,612,0
280000,38400,609,0
137000,82860,555,0
320000,98400,613,0
107000,9996,591,0
423000,159600,614,0
302000,109992,611,0
225000,99999.96,603,0
148000,126000,573,0
180000,62124,509,0
190000,32400,561,0
76000,95550,522,0
100000,22020,601,0
134000,45000,603,0
415150,96000,618,0
310000,99972,598,0
228000,60000,574,0
300000,144000,578,0
321000,84000,604,0
108000,77700,618,0
334400,122400,608,0
90000,137400,513,0
190000,95244,569,0
142000,199992,597,0
160000,72000,557,0
165000,54000,593,0
221000,32976,608,0
400000,93996,612,0
325000,48000,601,0
105000,51000,615,0
220000,97896,604,0
116400,27039.96,592,0
145400,57000,616,0
106000,96996,560,0
416000,90000,586,0
100000,51996,601,0
284000,87600,573,0
70000,79572,522,0
177550,69996,577,0
165000,120000,617,0
165000,54000,593,0
180000,50960.04,607,0
110200,27996,562,0
160000,44000.04,520,0
145000,52524.72,570,0
405000,141600,592,0
97000,32000.04,567,0
156750,78000,599,0
101000,60792,619,0
157300,202600.08,616,0
120000,60000,571,0
212000,144677.64,565,0
130000,171996,598,0
137000,54852,562,0
68000,21600,598,0
167000,48000,531,0
370000,33600,570,0
94000,264000,485,0
204250,42000,616,0
425000,54600,582,0
142500,54516.72,615,0
101500,19632,597,0
425000,93600,562,0
300000,176004,619,0
160000,44000.04,487,0
205000,120000,562,0
114900,60000,596,0
314800,108711.96,592,0
107000,36000,573,0
125500,182196,608,0
320000,170004,616,0
50000,24000,551,0
240000,54996,606,0
112000,51012,594,0
110000,48000,592,0
140000,47400,613,0
225000,34800,595,0
151600,40976.04,532,0
170000,22800,503,0
207000,55992,615,0
155000,35496,618,0
64000,21600,616,0
108000,45960,615,0
160000,60000,617,0
101000,46800,575,0
435000,45000,607,0
96000,39516,582,0
160000,33000,606,0
246000,48000,564,0
220000,99999.96,591,0
273500,120000,567,0
142000,99996,546,0
159500,10872,610,0
115000,83199.96,558,0
164000,60000,546,0
140000,36000,582,0
110000,90000,609,0
236800,75480,595,0
72000,68004,595,0
110000,99999.96,546,0
303700,150000,517,0
84000,30444,510,0
135000,36000,553,0
172800,48900,518,0
396000,106955.76,509,0
73000,38400,529,0
172000,63600,588,0
75000,54999.96,566,0
132000,65556,601,0
230000,91520.04,618,0
156000,54996,555,0
296000,184999.92,751,1
427500,139870.8,777,1
200000,65000.04,739,1
355000,199999.92,731,1
205000,56679.96,785,1
400000,102412.8,773,1
178200,36901.92,799,1
424000,167136,797,1
130000,113061.6,776,1
400000,62223,763,1
226500,130472.16,769,1
